customer_id,tenure_months,recency_days,purchase_frequency_90d,avg_ticket,support_tickets_90d,payment_delay_days,failed_payments_90d,login_days_30d,usage_ratio,nps_score,satisfaction_score,plan_value,plan_type,contract_type,payment_method,region,churn
1,46.7,74,8,568.35,5,5,3,27,0.348,5,4,170.1,padrao,mensal,cartao,nordeste,1
2,26.9,99,0,177.88,6,10,2,24,0.103,1,5,303.71,padrao,mensal,boleto,nordeste,0
3,51.7,77,13,700.24,1,21,2,18,0.302,3,1,319.7,basico,mensal,pix,sudeste,0
4,42.1,71,9,221.46,1,1,1,9,0.807,8,1,324.32,basico,mensal,boleto,centro-oeste,0
5,6.6,56,15,110.71,0,27,3,19,0.493,6,4,306.34,basico,mensal,cartao,norte,0
6,58.6,30,12,618.45,3,5,0,16,0.172,10,3,123.28,basico,mensal,debito,nordeste,0
7,45.9,34,15,800.23,3,23,1,27,0.313,8,4,143.97,basico,mensal,cartao,norte,0
8,47.4,89,9,1030.81,0,18,3,6,0.954,3,5,379.03,padrao,mensal,cartao,nordeste,1
9,8.6,9,0,948.09,5,25,1,0,0.432,8,1,239.29,basico,anual,boleto,nordeste,0
10,27.6,11,2,1034.4,0,23,0,3,0.442,9,5,311.5,padrao,anual,cartao,sudeste,0
11,22.9,48,9,921.68,6,15,1,5,0.153,6,1,255.61,premium,mensal,pix,nordeste,0
12,55.7,93,7,855.76,5,22,1,19,0.305,8,3,372.72,basico,mensal,boleto,centro-oeste,0
13,39.0,79,15,51.76,6,10,2,4,0.815,5,5,352.66,premium,mensal,debito,sudeste,1
14,49.5,71,8,766.28,0,17,0,4,0.786,10,4,133.99,basico,anual,cartao,nordeste,0
15,27.2,64,17,179.76,6,27,1,11,0.435,2,2,358.4,padrao,anual,boleto,centro-oeste,1
16,14.4,14,3,108.05,4,2,3,23,0.894,4,4,147.91,premium,mensal,pix,nordeste,0
17,33.7,40,7,221.44,6,10,0,12,0.38,2,5,198.65,padrao,anual,pix,sudeste,0
18,4.8,10,15,995.02,5,0,3,8,0.864,1,2,346.34,basico,anual,boleto,centro-oeste,0
19,49.8,91,2,902.87,5,16,0,8,0.032,6,5,156.55,basico,anual,debito,sudeste,0
20,38.3,90,6,1140.58,0,23,1,24,0.347,1,4,144.58,basico,anual,debito,nordeste,0
21,45.7,31,15,1175.61,5,1,2,12,0.855,2,1,280.62,premium,mensal,pix,sudeste,0
22,21.9,35,11,1076.21,3,16,3,11,0.901,8,2,399.78,basico,anual,pix,sul,1
23,58.3,38,15,194.19,6,12,1,23,0.756,2,5,87.08,padrao,anual,pix,sul,0
24,53.7,106,10,1058.92,5,23,0,11,0.67,9,2,292.28,basico,anual,boleto,sul,0
25,46.9,59,17,1012.82,0,6,3,10,0.816,0,5,229.6,basico,anual,pix,centro-oeste,0
26,12.5,91,17,1050.46,7,4,3,22,0.708,5,3,187.72,basico,anual,debito,nordeste,0
27,28.5,54,19,215.96,0,2,2,9,0.254,0,2,309.85,basico,anual,cartao,sul,0
28,3.6,84,2,175.48,2,12,0,15,0.466,0,5,239.64,padrao,mensal,cartao,sul,0
29,10.1,63,11,1111.62,1,14,2,19,0.661,8,4,327.11,basico,mensal,boleto,nordeste,0
30,41.3,34,2,241.64,7,27,1,6,0.588,0,2,307.69,basico,mensal,pix,sul,0
31,44.9,105,4,467.6,1,13,1,3,0.885,9,4,394.54,padrao,anual,cartao,centro-oeste,1
32,58.1,85,6,568.94,6,5,0,25,0.474,6,2,331.81,basico,mensal,pix,sul,0
33,20.2,92,12,184.35,1,20,1,8,0.178,5,5,63.95,padrao,mensal,cartao,norte,0
34,22.9,113,8,63.94,5,1,3,10,0.215,10,1,320.55,padrao,anual,cartao,nordeste,0
35,28.7,30,17,1193.14,0,10,0,17,0.846,4,4,273.79,padrao,mensal,boleto,sul,0
36,12.2,11,5,1056.92,3,19,3,3,0.009,4,1,72.22,basico,mensal,cartao,nordeste,0
37,8.7,70,12,1098.31,4,7,2,1,0.869,4,4,257.88,basico,anual,pix,sudeste,0
38,29.1,39,15,370.09,5,17,2,12,0.056,7,5,310.19,padrao,mensal,pix,nordeste,0
39,14.4,52,19,295.32,6,13,3,29,0.392,9,4,110.89,premium,mensal,pix,norte,0
40,40.5,28,4,534.01,6,28,0,17,0.8,5,3,196.47,basico,mensal,pix,nordeste,0
41,26.8,48,14,565.85,4,8,3,17,0.408,3,5,235.2,basico,anual,pix,sudeste,0
42,50.1,47,1,46.5,2,27,1,18,0.822,9,1,188.63,basico,mensal,pix,nordeste,0
43,42.3,42,10,943.93,2,18,1,25,0.1,6,3,355.26,padrao,mensal,pix,sudeste,0
44,19.4,89,8,1196.13,7,22,1,25,0.512,9,5,100.71,basico,mensal,cartao,sul,0
45,50.1,71,19,653.28,4,5,2,0,0.582,4,2,317.66,premium,anual,pix,norte,1
46,48.5,57,15,490.38,7,0,1,16,0.891,2,1,320.01,basico,mensal,cartao,centro-oeste,0
47,23.9,14,18,495.59,3,21,3,16,0.094,10,3,201.19,premium,mensal,cartao,centro-oeste,1
48,18.0,68,17,151.45,3,14,0,6,0.339,7,3,234.11,basico,anual,debito,nordeste,0
49,41.3,21,8,348.75,6,9,2,29,0.659,3,5,95.18,basico,anual,cartao,sul,0
50,9.2,38,14,622.47,5,26,2,7,0.98,9,5,110.16,basico,mensal,cartao,centro-oeste,0
51,12.8,50,0,540.94,1,9,2,25,0.848,0,2,231.3,basico,mensal,boleto,sul,0
52,1.4,17,11,672.24,4,13,2,3,0.846,10,4,120.79,premium,anual,debito,nordeste,0
53,47.4,47,0,1024.92,1,21,2,18,0.517,6,1,330.23,padrao,mensal,debito,sudeste,0
54,40.2,32,14,301.28,6,28,3,22,0.564,6,1,261.74,basico,anual,pix,sul,1
55,42.6,102,19,72.09,0,26,0,15,0.859,0,4,60.27,premium,mensal,cartao,nordeste,0
56,47.1,103,13,84.34,6,19,1,3,0.87,1,4,168.74,basico,mensal,pix,norte,1
57,28.1,1,16,195.64,7,3,2,3,0.802,7,5,348.93,basico,mensal,debito,centro-oeste,0
58,34.6,72,4,701.76,0,3,1,18,0.819,6,4,139.78,basico,mensal,boleto,sudeste,0
59,9.2,77,19,977.49,5,20,3,25,0.88,1,1,299.0,padrao,anual,boleto,nordeste,1
60,7.8,45,11,1068.69,0,15,2,17,0.114,7,4,73.67,premium,anual,debito,centro-oeste,0
61,40.4,56,13,776.73,2,3,2,3,0.293,8,3,374.89,basico,anual,cartao,sudeste,1
62,28.8,94,15,507.65,2,20,0,23,0.976,2,2,201.66,padrao,anual,debito,nordeste,0
63,34.3,45,12,219.24,4,28,1,13,0.545,7,2,216.86,basico,mensal,boleto,norte,0
64,46.1,8,6,505.65,7,1,2,2,0.176,10,5,245.04,basico,anual,pix,sudeste,0
65,38.4,45,12,425.6,3,24,1,11,0.503,5,1,170.74,padrao,anual,boleto,norte,0
66,33.7,31,13,1049.23,3,10,3,6,0.646,2,3,301.0,padrao,mensal,pix,nordeste,1
67,34.0,46,17,604.59,0,11,0,29,0.828,10,1,45.15,padrao,anual,debito,norte,0
68,18.9,28,9,302.39,7,21,0,27,0.812,10,4,98.29,basico,anual,boleto,norte,0
69,2.8,18,10,375.01,2,7,1,3,0.049,5,1,107.88,basico,mensal,cartao,sudeste,0
70,26.8,118,10,198.31,3,4,1,17,0.454,4,5,268.62,padrao,mensal,cartao,sudeste,1
71,13.7,16,2,1105.56,0,28,3,0,0.021,9,5,360.52,padrao,mensal,debito,sul,1
72,25.1,85,1,98.4,2,10,3,13,0.888,0,5,62.81,basico,anual,debito,sul,1
73,51.4,86,0,54.9,4,5,1,4,0.174,3,2,346.79,basico,anual,pix,sul,0
74,14.8,74,13,252.27,7,20,2,22,0.625,5,4,334.92,padrao,anual,cartao,centro-oeste,0
75,4.4,109,8,980.61,2,6,1,2,0.571,7,1,67.49,basico,anual,debito,norte,0
76,17.6,1,17,647.22,4,23,2,27,0.626,6,2,91.46,padrao,mensal,boleto,sul,0
77,18.3,36,14,765.98,7,2,2,6,0.563,4,1,165.92,padrao,anual,cartao,norte,0
78,40.1,22,2,454.97,2,15,2,7,0.716,9,1,81.18,basico,mensal,boleto,sudeste,0
79,33.9,69,2,119.67,2,12,3,26,0.626,7,2,312.88,padrao,anual,debito,sudeste,0
80,47.2,76,7,1033.14,0,28,2,27,0.09,5,3,221.36,padrao,mensal,debito,sudeste,0
81,40.2,107,18,262.6,7,15,1,2,0.367,10,5,187.78,padrao,mensal,pix,nordeste,0
82,25.0,46,0,78.35,0,27,0,3,0.547,1,1,300.88,premium,mensal,pix,norte,0
83,49.0,29,3,704.34,1,7,2,25,0.325,7,3,145.34,padrao,mensal,debito,nordeste,0
84,10.9,110,0,136.62,1,14,3,29,0.76,10,4,353.65,basico,mensal,pix,nordeste,0
85,2.3,81,8,151.08,5,24,2,14,0.318,7,2,275.33,basico,mensal,boleto,sudeste,1
86,6.3,92,19,968.44,2,4,3,4,0.829,6,4,164.64,padrao,mensal,cartao,norte,0
87,43.6,53,13,610.27,5,27,1,4,0.147,4,3,234.25,basico,anual,cartao,nordeste,1
88,28.3,54,9,320.15,4,23,0,7,0.769,2,3,133.3,padrao,mensal,cartao,centro-oeste,0
89,10.5,47,2,444.41,0,20,2,20,0.183,6,1,394.49,basico,mensal,debito,sul,0
90,30.6,90,7,885.92,2,7,0,2,0.528,9,1,196.72,basico,mensal,cartao,sudeste,0
91,10.0,26,10,116.97,0,24,0,19,0.321,5,5,362.74,basico,anual,cartao,nordeste,0
92,42.1,117,5,175.12,0,25,2,24,0.637,1,5,391.99,premium,mensal,debito,sudeste,1
93,27.3,21,14,754.86,3,8,1,4,0.213,5,3,232.79,padrao,anual,boleto,sudeste,0
94,23.5,55,19,744.09,2,17,2,29,0.795,1,3,302.7,padrao,mensal,cartao,sul,0
95,18.8,38,4,1168.06,0,1,2,29,0.574,10,3,245.91,basico,mensal,debito,norte,1
96,38.2,77,5,474.48,3,11,1,8,0.957,5,3,72.86,premium,anual,debito,nordeste,0
97,22.3,82,2,115.49,3,4,2,3,0.712,2,4,382.77,premium,mensal,pix,centro-oeste,1
98,6.2,110,14,663.54,7,16,2,9,0.607,6,3,204.29,basico,mensal,cartao,sudeste,1
99,8.0,94,9,780.48,5,16,2,7,0.829,5,1,361.76,padrao,anual,pix,centro-oeste,0
100,57.8,30,5,201.94,3,15,2,8,0.22,5,1,275.92,premium,mensal,debito,nordeste,0
101,54.6,25,4,681.32,3,20,1,27,0.633,6,5,77.77,basico,mensal,debito,nordeste,0
102,42.3,106,1,269.41,0,27,2,4,0.39,10,4,190.04,basico,mensal,pix,centro-oeste,0
103,16.7,59,9,1019.89,3,5,2,9,0.744,9,1,110.41,padrao,anual,debito,nordeste,0
104,58.2,12,13,1008.79,4,6,0,23,0.024,2,1,101.05,basico,anual,debito,sudeste,0
105,46.9,99,4,538.37,0,6,0,1,0.428,2,2,297.33,padrao,mensal,cartao,sul,1
106,43.3,78,0,1161.42,7,27,0,1,0.652,10,3,50.71,padrao,mensal,pix,centro-oeste,0
107,27.5,4,9,1176.54,4,2,0,9,0.461,7,3,387.71,basico,mensal,pix,sudeste,1
108,17.1,94,13,189.93,6,0,1,29,0.238,0,1,201.87,basico,mensal,debito,centro-oeste,0
109,6.7,73,6,466.55,2,4,3,25,0.464,5,1,216.21,padrao,anual,pix,norte,0
110,54.3,74,5,736.37,6,23,3,27,0.85,1,2,147.69,basico,mensal,pix,nordeste,1
111,27.9,103,3,138.41,2,17,3,25,0.207,0,3,70.72,basico,anual,pix,sul,0
112,12.9,59,14,483.88,7,27,2,3,0.367,2,2,251.67,basico,anual,boleto,centro-oeste,0
113,19.1,55,17,342.96,4,6,0,12,0.99,2,3,164.01,padrao,mensal,boleto,sudeste,0
114,35.2,74,15,1144.38,5,11,1,15,0.913,0,1,264.57,basico,anual,debito,norte,0
115,11.4,24,10,517.44,1,16,3,4,0.034,9,5,239.98,basico,anual,debito,sul,0
116,51.5,19,14,924.7,7,2,3,29,0.53,4,5,117.99,padrao,mensal,pix,sul,0
117,45.8,101,7,488.58,1,27,3,18,0.065,6,2,206.1,basico,mensal,boleto,sudeste,0
